datetime,num_orders
01/03/2018 0:00,9
01/03/2018 0:10,14
01/03/2018 0:20,28
01/03/2018 0:30,20
01/03/2018 0:40,32
01/03/2018 0:50,21
01/03/2018 1:00,7
01/03/2018 1:10,5
01/03/2018 1:20,17
01/03/2018 1:30,12
01/03/2018 1:40,19
01/03/2018 1:50,25
01/03/2018 2:00,22
01/03/2018 2:10,12
01/03/2018 2:20,19
01/03/2018 2:30,8
01/03/2018 2:40,6
01/03/2018 2:50,4
01/03/2018 3:00,8
01/03/2018 3:10,17
01/03/2018 3:20,7
01/03/2018 3:30,4
01/03/2018 3:40,10
01/03/2018 3:50,20
01/03/2018 4:00,13
01/03/2018 4:10,17
01/03/2018 4:20,5
01/03/2018 4:30,2
01/03/2018 4:40,3
01/03/2018 4:50,3
01/03/2018 5:00,3
01/03/2018 5:10,2
01/03/2018 5:20,0
01/03/2018 5:30,1
01/03/2018 5:40,0
01/03/2018 5:50,0
01/03/2018 6:00,0
01/03/2018 6:10,0
01/03/2018 6:20,2
01/03/2018 6:30,1
01/03/2018 6:40,7
01/03/2018 6:50,2
01/03/2018 7:00,0
01/03/2018 7:10,1
01/03/2018 7:20,1
01/03/2018 7:30,2
01/03/2018 7:40,4
01/03/2018 7:50,7
01/03/2018 8:00,9
01/03/2018 8:10,8
01/03/2018 8:20,6
01/03/2018 8:30,5
01/03/2018 8:40,2
01/03/2018 8:50,4
01/03/2018 9:00,4
01/03/2018 9:10,7
01/03/2018 9:20,14
01/03/2018 9:30,20
01/03/2018 9:40,13
01/03/2018 9:50,11
01/03/2018 10:00,17
01/03/2018 10:10,13
01/03/2018 10:20,2
01/03/2018 10:30,8
01/03/2018 10:40,15
01/03/2018 10:50,9
01/03/2018 11:00,6
01/03/2018 11:10,7
01/03/2018 11:20,16
01/03/2018 11:30,23
01/03/2018 11:40,22
01/03/2018 11:50,22
01/03/2018 12:00,11
01/03/2018 12:10,8
01/03/2018 12:20,4
01/03/2018 12:30,1
01/03/2018 12:40,3
01/03/2018 12:50,3
01/03/2018 13:00,8
01/03/2018 13:10,9
01/03/2018 13:20,9
01/03/2018 13:30,1
01/03/2018 13:40,5
01/03/2018 13:50,0
01/03/2018 14:00,5
01/03/2018 14:10,13
01/03/2018 14:20,16
01/03/2018 14:30,6
01/03/2018 14:40,5
01/03/2018 14:50,3
01/03/2018 15:00,4
01/03/2018 15:10,7
01/03/2018 15:20,16
01/03/2018 15:30,19
01/03/2018 15:40,11
01/03/2018 15:50,9
01/03/2018 16:00,6
01/03/2018 16:10,6
01/03/2018 16:20,8
01/03/2018 16:30,8
01/03/2018 16:40,9
01/03/2018 16:50,6
01/03/2018 17:00,5
01/03/2018 17:10,7
01/03/2018 17:20,9
01/03/2018 17:30,8
01/03/2018 17:40,9
01/03/2018 17:50,6
01/03/2018 18:00,14
01/03/2018 18:10,12
01/03/2018 18:20,13
01/03/2018 18:30,10
01/03/2018 18:40,7
01/03/2018 18:50,17
01/03/2018 19:00,16
01/03/2018 19:10,10
01/03/2018 19:20,7
01/03/2018 19:30,5
01/03/2018 19:40,2
01/03/2018 19:50,5
01/03/2018 20:00,12
01/03/2018 20:10,8
01/03/2018 20:20,10
01/03/2018 20:30,4
01/03/2018 20:40,11
01/03/2018 20:50,16
01/03/2018 21:00,18
